t,V10,V47k,V94k,V220k,V672k
-0.0000195,-0.0004,0.004,-0.0092,-0.0028,0.0112
-0.00001948,0.0052,0.002,-0.0032,-0.0036,0.0064
-0.00001946,0.0064,-0.0016,0,0,0.0072
-0.00001944,0.01,0,0.0036,0.0016,0.0064
-0.00001942,0.0084,-0.0056,0.004,0.0068,0.0108
-0.0000194,0.004,-0.0044,-0.0012,0.0068,0.0108
-0.00001938,0,-0.008,-0.002,0.0044,0.0148
-0.00001936,-0.0056,0.0004,-0.0032,0.0008,0.0132
-0.00001934,-0.006,-0.0024,-0.0044,-0.004,0.0152
-0.00001932,-0.0076,0.0052,-0.0016,-0.0016,0.01
-0.0000193,-0.0068,-0.0008,-0.002,-0.0052,0.0096
-0.00001928,-0.0024,0.0044,0.0036,-0.0016,0.006
-0.00001926,0.0004,-0.0004,0.0036,-0.004,0.0076
-0.00001924,0.0068,0.0032,0.0044,0.0048,0.0068
-0.00001922,0.0068,-0.0012,0.0028,0.0068,0.0116
-0.0000192,0.0068,0.0012,-0.0004,0.0092,0.01
-0.00001918,0.006,0.0024,-0.0012,0.0032,0.0132
-0.00001916,0.0004,0.0056,-0.004,-0.0016,0.0136
-0.00001914,0.0028,0.006,-0.0008,-0.0052,0.012
-0.00001912,-0.0036,0.0044,0,-0.0052,0.0084
-0.0000191,0.0016,0.0008,0.0008,-0.0096,0.0084
-0.00001908,0.0016,0.002,0.0084,-0.0028,0.0056
-0.00001906,0.0076,-0.0012,0.0056,-0.0044,0.0076
-0.00001904,0.008,-0.0024,0.0088,0.0064,0.0068
-0.00001902,0.004,-0.0032,0.0028,0.0028,0.012
-0.000019,0,0.0024,0.0028,0.0064,0.0076
-0.00001898,-0.0044,0.0044,0.0028,-0.0024,0.0112
-0.00001896,-0.0056,0.0096,-0.0012,-0.0016,0.0028
-0.00001894,-0.0088,0.0068,0.0032,-0.0036,0.002
-0.00001892,-0.0036,0.006,-0.0012,-0.002,-0.0028
-0.0000189,-0.0004,-0.0004,0.0076,-0.0032,-0.0012
-0.00001888,0.0072,-0.002,0.0024,-0.0036,-0.0012
-0.00001886,0.0092,-0.0056,0.0048,-0.002,0.006
-0.00001884,0.0104,-0.0032,-0.0016,0,0.0052
-0.00001882,0.0068,-0.0056,-0.002,0.0004,0.01
-0.0000188,0.004,-0.0004,-0.006,0,0.0076
-0.00001878,-0.0024,-0.0004,-0.0028,-0.002,0.0092
-0.00001876,-0.0044,0.004,-0.004,-0.0012,0.0048
-0.00001874,-0.0132,-0.0028,0.0012,-0.0024,0.0012
-0.00001872,-0.0108,-0.0032,0.002,0.0008,-0.0032
-0.0000187,-0.0112,-0.0088,0.0092,-0.0012,-0.0056
-0.00001868,-0.0072,-0.0044,0.0104,0,-0.0052
-0.00001866,-0.0016,-0.0052,0.0092,0.002,-0.0032
-0.00001864,0.0048,0.0008,0.004,0.0024,-0.0004
-0.00001862,0.0052,-0.0008,-0.002,0.0052,0.0048
-0.0000186,0.0028,0.004,-0.0068,0,0.0072
-0.00001858,-0.0012,0.002,-0.0084,0.0024,0.01
-0.00001856,-0.0056,0.002,-0.0116,0.0004,0.0064
-0.00001854,-0.0052,-0.0004,-0.0088,0.0032,0.004
-0.00001852,-0.0016,-0.0048,-0.0064,0.0012,-0.0032
-0.0000185,0.004,-0.0056,0.0024,0.0016,0.0008
-0.00001848,0.0016,-0.0088,0.004,0.002,0.0008
-0.00001846,0.0036,-0.0056,0.0092,0.002,0.004
-0.00001844,-0.0032,-0.0084,0.0048,0.0012,0.0044
-0.00001842,-0.0004,0.0008,0.0044,-0.0032,0.006
-0.0000184,-0.006,0.0008,0,-0.004,0.0052
-0.00001838,-0.006,0.0084,-0.0032,-0.0052,0.0024
-0.00001836,-0.004,0.0056,-0.0052,-0.0004,0.0004
-0.00001834,-0.0024,0.0044,-0.0024,-0.0004,-0.004
-0.00001832,0.0044,0.0008,0.0008,0.0044,-0.0012
-0.0000183,0.0056,-0.0028,0.0024,0.0056,-0.0012
-0.00001828,0.0096,-0.0036,0.0028,0.008,0.002
-0.00001826,0.0056,-0.0084,0,0.008,0.0044
-0.00001824,0.0036,-0.0068,-0.002,0.0012,0.006
-0.00001822,-0.0008,-0.0072,-0.0056,-0.0028,0.0056
-0.0000182,-0.0024,0,-0.0068,-0.01,0.0056
-0.00001818,-0.0016,0,-0.0076,-0.006,0.0068
-0.00001816,-0.0036,0.0016,-0.0036,-0.0088,0.0024
-0.00001814,0.0008,-0.002,0,-0.0008,0.0004
-0.00001812,-0.0004,0,0.0048,0.0012,-0.0032
-0.0000181,0,0.0004,0.0064,0.0056,-0.0016
-0.00001808,-0.0036,0.0012,0.0052,0.01,-0.002
-0.00001806,-0.0008,0,0.0016,0.008,-0.0008
-0.00001804,-0.0044,0.0016,0.0008,0.004,0.0024
-0.00001802,-0.0032,0.0048,-0.0052,-0.0012,0.0044
-0.000018,-0.0044,0.006,-0.0044,-0.0012,0.0036
-0.00001798,-0.0008,0.0036,-0.0104,-0.0028,0.0052
-0.00001796,0.0028,0.0012,-0.006,-0.0008,0.002
-0.00001794,0.0072,-0.0028,-0.0076,-0.0012,0.0064
-0.00001792,0.0096,-0.0032,-0.0036,0.0016,0.0064
-0.0000179,0.0064,-0.0072,-0.0032,0.0044,0.0108
-0.00001788,0.0044,-0.0028,-0.002,0.0068,0.0092
-0.00001786,-0.0032,-0.002,0.0012,0.004,0.012
-0.00001784,-0.0036,0.0068,0.004,-0.0028,0.0052
-0.00001782,-0.008,0.006,0.0032,-0.0056,0.004
-0.0000178,-0.0072,0.0108,0.0016,-0.0068,-0.0028
-0.00001778,-0.0044,0.0052,0.0012,-0.004,-0.006
-0.00001776,-0.0016,0.006,0,-0.0028,-0.006
-0.00001774,0.0096,0.0008,0.004,0,0.0004
-0.00001772,0.0096,0.0008,-0.0024,-0.0008,0.006
-0.0000177,0.0148,0.0004,-0.0012,0.0036,0.0084
-0.00001768,0.0072,0.0008,-0.0064,0.0044,0.012
-0.00001766,0.006,0.0028,-0.0012,-0.0008,0.012
-0.00001764,0,0.0008,-0.0044,0.0004,0.0124
-0.00001762,-0.0032,0.0004,-0.0024,-0.006,0.0072
-0.0000176,-0.0044,-0.0024,-0.0052,-0.0024,0
-0.00001758,-0.0048,-0.0024,-0.0016,-0.0068,-0.0044
-0.00001756,0,-0.0032,0.0048,-0.0076,-0.0052
-0.00001754,0.0008,-0.0052,0.008,-0.0064,-0.0052
-0.00001752,0.0036,0,0.0108,-0.006,-0.002
-0.0000175,0.0004,0.0004,0.0044,0.0004,-0.0008
-0.00001748,-0.0008,0.0068,0.002,0,0.0032
-0.00001746,-0.0044,0.0076,-0.0024,0.004,0.004
-0.00001744,-0.002,0.008,-0.0072,0.0028,0.0048
-0.00001742,-0.0068,0.0052,-0.0108,0.0056,0.0008
-0.0000174,-0.0024,-0.0032,-0.0028,0.0044,-0.0012
-0.00001738,-0.004,-0.006,-0.0008,0.0048,-0.0028
-0.00001736,0.0028,-0.0096,0.0032,0.0028,0.0016
-0.00001734,0.0016,-0.0088,0.0004,0.0052,0.0064
-0.00001732,0.0036,-0.0072,0.0024,0.0016,0.0104
-0.0000173,0.0004,-0.0052,-0.008,0.004,0.0096
-0.00001728,-0.0012,0.0004,-0.008,-0.0028,0.0096
-0.00001726,-0.0048,0.0036,-0.0068,-0.0024,0.0064
-0.00001724,-0.004,0.0096,-0.0004,-0.0048,0.0032
-0.00001722,-0.0088,0.0088,0.0016,-0.0004,0.0012
-0.0000172,-0.0048,0.0048,0.0048,0.0064,-0.0004
-0.00001718,-0.0068,0.0024,0.0052,0.004,-0.0024
-0.00001716,0.0032,0,0.0028,0.0092,0.0008
-0.00001714,-0.0008,-0.0032,0.0008,0.0068,0.0024
-0.00001712,0.0056,-0.0048,-0.004,0.01,0.0092
-0.0000171,0.0028,-0.0064,-0.0028,0.002,0.0096
-0.00001708,0.0028,-0.0012,-0.0088,-0.0032,0.0156
-0.00001706,0.0036,0.0004,-0.0052,-0.0052,0.0116
-0.00001704,0.002,0.004,-0.0096,-0.008,0.0144
-0.00001702,0.0064,0.0004,-0.0044,-0.0008,0.0088
-0.000017,0,-0.0016,-0.0052,-0.0028,0.0072
-0.00001698,0.0068,-0.004,0.0056,0,0.004
-0.00001696,0,-0.0036,0.008,0.0016,0.0056
-0.00001694,0.0032,0.0008,0.0104,0.002,0.0016
-0.00001692,-0.006,-0.0004,0.0024,0.0048,0.0028
-0.0000169,-0.0052,0.0052,0.0004,-0.0036,0.0016
-0.00001688,-0.0052,0.0076,-0.006,-0.0004,0.0036
-0.00001686,-0.0052,0.0104,-0.0052,-0.0068,0.0044
-0.00001684,0.0024,0.0064,-0.0116,0.0012,0.0028
